1,Mojito,Tragos,350,2021-11-09,2021-11-09
2,"Gin Tonic",Tragos,320,2021-11-09,2021-11-09
3,Daikiri,Tragos,400,2021-11-09,2021-11-09
4,"Champagne Baron",Tragos,5800,2021-11-09,2021-11-09
5,"Andes Ipa",Choperas,280,2021-11-09,2021-11-09
6,"Imperial Apa",Choperas,280,2021-11-09,2021-11-09
7,"Scotch Ale",Choperas,290,2021-11-09,2021-11-09
8,Corona,Choperas,300,2021-11-09,2021-11-09
9,Heineken,Choperas,300,2021-11-09,2021-11-09
10,"Picada para dos",Cocina,1200,2021-11-09,2021-11-09
11,"Milanesa a caballo",Cocina,850,2021-11-09,2021-11-09
12,"Pizza Especial",Cocina,690,2021-11-09,2021-11-09
13,"Hamburguesa de garbanzo",Cocina,650,2021-11-09,2021-11-09
14,"Hamburguesa Delta",Cocina,600,2021-11-09,2021-11-09
15,"Ensalada Cesar",Cocina,580,2021-11-09,2021-11-09
16,"Bastones de Muzzarella",Cocina,490,2021-11-09,2021-11-09
17,"Flan con dulce","Candy Bar",250,2021-11-09,2021-11-09
18,Volcan,"Candy Bar",450,2021-11-09,2021-11-09
19,Chocotorta,"Candy Bar",390,2021-11-09,2021-11-09
20,Rogel,"Candy Bar",320,2021-11-09,2021-11-09
